home_team_encoded,away_team_encoded,referee_encoded,home_goals,away_goals,home_xg,away_xg,home_poss,home_team_form,away_team_form,home_avg_goals_10,home_avg_xg_10,away_avg_goals_10,away_avg_xg_10,home_avg_conceded_10,away_avg_conceded_10,h2h_stat,result
8,22,4,1,2,1.7,0.8,58,0.8,1.5,0.8,0.96,1.5328947368421053,1.4846052631578948,1.3,1.5328947368421053,0.0,-1
11,16,9,0,3,0.5,1.9,60,1.8,1.5,1.7,1.21,1.5328947368421053,1.4846052631578948,1.2,1.5328947368421053,0.0,-1
19,4,19,1,3,1.9,0.6,34,0.2,1.5,0.7,1.0399999999999998,1.5328947368421053,1.4846052631578948,2.0,1.5328947368421053,0.0,-1
1,12,16,1,3,1.4,2.7,48,1.8,1.8,1.2,1.41,1.6,1.7600000000000002,1.5,1.2,0.0,-1
0,21,14,3,1,2.1,1.0,66,2.6,1.5,2.3,1.8,1.5328947368421053,1.4846052631578948,0.8,1.5328947368421053,0.0,1
6,2,23,2,0,1.8,0.5,60,0.8,0.6,1.3,1.06,1.3,0.95,0.9,1.6,0.0,1
15,17,2,3,0,2.4,0.7,65,2.0,1.5,1.8,1.43,1.5328947368421053,1.4846052631578948,1.3,1.5328947368421053,0.0,1
10,14,24,1,3,0.6,4.3,31,1.2,2.4,1.5,1.35,2.4,2.04,2.4,1.0,0.0,-1
21,3,6,0,2,1.3,1.6,63,0.0,1.8,1.0,1.3699999999999999,1.2,1.3599999999999999,1.3,1.5,0.0,-1
12,11,4,2,1,2.2,1.0,57,2.4,1.2,1.8,1.77,1.6,1.1300000000000001,1.3,0.8,0.0,1
22,15,19,0,1,0.7,2.0,46,0.8,1.5,0.7,1.0,1.5328947368421053,1.4846052631578948,1.9,1.5328947368421053,0.0,-1
14,8,1,1,1,1.7,0.1,74,2.0,0.4,2.4,2.0,0.8,0.9299999999999999,1.0,1.4,0.0,0
16,10,23,0,0,2.2,0.4,60,2.6,1.4,2.4,1.77,1.3,1.2200000000000002,0.4,1.9,0.0,0
9,19,8,2,1,1.5,0.8,62,1.4,0.0,1.7,1.55,0.8,1.09,1.6,2.1,0.0,1
2,7,0,0,2,0.6,1.6,59,0.6,1.8,1.2,0.9400000000000001,1.0,0.9100000000000001,1.7,1.2,0.0,-1
4,0,2,2,4,1.2,2.9,68,1.8,3.0,1.7,1.25,2.6,1.9600000000000002,1.9,0.7,0.0,-1
20,1,10,0,2,0.7,1.0,59,1.4,1.8,1.5,1.36,1.3,1.3599999999999999,1.8,1.5,0.0,-1
17,6,17,1,1,1.4,0.9,29,1.0,0.8,0.6,1.0,1.2,1.06,1.7,0.9,0.0,0
3,12,24,3,1,1.6,0.9,28,2.2,2.4,1.5,1.4300000000000002,1.6,1.7100000000000002,1.6,1.3,0.0,1
0,16,1,0,0,1.1,1.0,66,2.6,1.5,2.3,1.92,1.5328947368421053,1.4846052631578948,0.7,1.5328947368421053,0.0,0
8,4,0,1,4,1.3,2.2,49,0.2,1.5,0.7,0.86,1.5328947368421053,1.4846052631578948,1.7,1.5328947368421053,0.0,-1
11,9,5,0,1,1.7,1.7,61,1.2,1.8,1.2,1.17,1.7,1.67,0.9,1.2,0.0,-1
15,2,15,3,0,2.2,0.6,58,2.4,0.6,1.6,1.53,1.2,0.96,0.6,2.0,0.0,1
19,17,26,0,1,0.5,1.4,63,0.0,1.5,0.7,0.97,1.5328947368421053,1.4846052631578948,2.0,1.5328947368421053,0.0,-1
10,21,7,2,2,1.6,1.4,62,1.0,1.5,1.5,1.3400000000000003,1.5328947368421053,1.4846052631578948,2.1,1.5328947368421053,0.0,0
1,22,9,1,1,1.8,0.9,56,2.0,1.5,1.4,1.3199999999999998,1.5328947368421053,1.4846052631578948,1.6,1.5328947368421053,0.0,0
7,20,14,0,4,0.8,1.4,47,1.2,1.5,0.9,0.95,1.5328947368421053,1.4846052631578948,1.4,1.5328947368421053,0.0,-1
6,14,16,0,1,0.4,2.0,48,0.8,2.0,1.0,0.99,2.2,2.0900000000000003,0.9,1.0,0.0,-1
9,6,7,2,1,1.0,2.1,48,2.4,0.8,1.8,1.7,0.8,1.01,1.0,1.1,0.0,1
1,10,14,2,1,1.2,2.4,52,2.0,0.4,1.5,1.3699999999999999,1.5,1.48,1.6,2.1,0.0,1
15,14,24,2,1,1.7,0.6,30,3.0,1.4,1.6,1.56,1.7,1.83,0.6,0.9,0.0,1
4,12,6,3,0,1.9,1.0,61,1.8,1.8,2.1,1.45,1.4,1.7,1.6,1.3,0.0,1
22,21,23,1,0,0.9,1.1,58,1.4,1.5,0.9,1.0,1.5328947368421053,1.4846052631578948,1.5,1.5328947368421053,0.0,1
17,11,16,2,0,2.4,1.0,39,2.0,0.6,0.8,1.2399999999999998,1.1,1.17,1.2,0.9,0.0,1
8,19,10,1,2,1.4,1.2,52,0.2,0.6,0.7,0.9400000000000001,0.9,1.0699999999999998,1.7,1.7,1.0,-1
3,2,9,2,0,1.4,0.6,50,2.6,0.6,1.6,1.45,1.0,0.9099999999999999,1.1,2.1,0.0,1
16,9,19,1,0,2.2,1.1,62,2.2,2.4,1.6,1.61,1.6,1.6,0.2,0.9,0.0,1
6,7,17,1,0,1.5,0.7,61,1.4,0.6,0.7,1.0699999999999998,0.7,0.9100000000000001,1.1,1.4,1.0,1
20,0,4,0,2,1.6,1.8,51,1.4,2.6,1.7,1.4200000000000002,2.2,1.86,1.7,0.6,0.0,-1
7,15,19,1,1,0.5,2.1,40,0.8,1.5,0.8,0.9199999999999999,1.5328947368421053,1.4846052631578948,1.5,1.5328947368421053,0.0,0
14,20,23,4,2,2.3,0.8,58,2.0,1.5,1.7,1.8199999999999998,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,1
12,6,14,0,0,1.4,1.6,48,1.4,1.0,1.3,1.6300000000000001,0.7,1.1400000000000001,1.3,1.1,0.0,0
21,8,24,2,0,2.2,0.5,33,0.8,0.2,0.8,1.3399999999999999,0.7,0.95,1.4,1.7,0.0,1
2,17,1,1,1,1.4,1.9,43,0.2,1.5,0.9,0.95,1.5328947368421053,1.4846052631578948,2.0,1.5328947368421053,0.0,0
11,4,26,2,2,0.9,1.7,37,0.2,1.5,1.3,1.16,1.5328947368421053,1.4846052631578948,1.1,1.5328947368421053,0.0,0
19,1,15,0,1,0.6,1.4,37,0.6,2.0,0.8,1.08,1.6,1.3299999999999998,1.7,1.4,-1.0,-1
7,16,4,0,0,0.3,1.2,40,1.0,1.5,0.6,0.8300000000000001,1.5328947368421053,1.4846052631578948,1.4,1.5328947368421053,0.0,0
14,22,7,3,0,2.8,0.8,55,2.0,1.5,2.0,2.0,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
10,3,17,0,0,0.5,0.4,58,0.6,2.2,1.5,1.35,1.4,1.34,2.0,1.1,-1.0,0
0,15,2,3,2,3.1,0.4,57,2.6,1.5,2.2,1.9,1.5328947368421053,1.4846052631578948,0.6,1.5328947368421053,0.0,1
