Player,Squad,Cluster_0_proba,Cluster_1_proba,Cluster_2_proba,Cluster_3_proba,Cluster_4_proba,Cluster_5_proba,Cluster_6_proba,Cluster_7_proba,Cluster_8_proba,Cluster_hard,Cluster_confidence
Giovanni Di Lorenzo,it Italy,0.0,1.71e-06,0.0,0.0,0.99998467,0.0,0.0,0.0,1.362e-05,4,0.99998467
Anzor Mekvabishvili,ge Georgia,0.0,1.948e-05,0.0,0.0,0.99998052,0.0,0.0,0.0,0.0,4,0.99998052
Elseid Hysaj,al Albania,0.0,8e-08,0.0,1.1e-07,0.99997414,0.0,0.0,0.0,2.568e-05,4,0.99997414
Arthur Theate,be Belgium,0.0,7.6e-07,1e-08,0.0,0.99997396,0.0,0.0,0.0,2.527e-05,4,0.99997396
Jonathan Tah,de Germany,0.0,7e-08,2.4e-07,0.0,0.99996746,0.0,0.0,0.0,3.222e-05,4,0.99996746
Nicolò Fagioli,it Italy,0.0,0.0,7.5e-07,0.0,0.99996366,0.0,0.0,0.0,3.56e-05,4,0.99996366
Robin Le Normand,es Spain,0.0,6.63e-06,4e-08,0.0,0.99996312,0.0,0.0,0.0,3.021e-05,4,0.99996312
Martín Zubimendi,es Spain,0.0,0.0,1.763e-05,0.0,0.99996264,0.0,0.0,0.0,1.973e-05,4,0.99996264
Mario Pašalić,hr Croatia,0.0,0.0,0.0,1e-08,0.99996253,3.693e-05,0.0,0.0,5.3e-07,4,0.99996253
Joško Gvardiol,hr Croatia,0.0,0.0,0.0,0.0,0.99995738,0.0,0.0,0.0,4.262e-05,4,0.99995738
Robert Andrich,de Germany,0.0,0.0,4.825e-05,0.0,0.99995175,0.0,0.0,0.0,0.0,4,0.99995175
Jon Gorenc Stanković,si Slovenia,0.0,0.0,0.0,0.0,0.99994036,0.0,0.0,0.0,5.964e-05,4,0.99994036
Konrad Laimer,at Austria,0.0,1.97e-06,0.0,0.0,0.99993092,0.0,0.0,0.0,6.711e-05,4,0.99993092
Florinel Coman,ro Romania,0.0,0.0,2e-08,7.071e-05,0.99992916,0.0,1e-07,0.0,0.0,4,0.99992916
Nemanja Gudelj,rs Serbia,0.0,6.263e-05,0.0,0.0,0.99991675,0.0,0.0,0.0,2.062e-05,4,0.99991675
Virgil van Dijk,nl Netherlands,0.0,0.00010933,0.0,0.0,0.99989067,0.0,0.0,0.0,0.0,4,0.99989067
Milan Škriniar,sk Slovakia,0.0,6.401e-05,0.0,0.0,0.99988558,0.0,0.0,0.0,5.042e-05,4,0.99988558
Otar Kiteishvili,ge Georgia,0.0,7.7e-07,0.0,0.0,0.99988238,0.0,0.0,0.0,0.00011685,4,0.99988238
Robin Hranáč,cz Czechia,0.0,0.00010241,0.0,0.0,0.99987988,0.0,0.0,0.0,1.771e-05,4,0.99987988
Andriy Yarmolenko,ua Ukraine,4.5e-07,0.0,4e-08,0.0,0.99987658,0.0,0.00012242,0.0,5e-07,4,0.99987658
Andreas Skov Olsen,dk Denmark,0.0,4e-08,0.0,1.3e-07,0.99987418,0.0,0.0,0.0,0.00012565,4,0.99987418
Scott McKenna,sct Scotland,0.0,0.00013106,0.0,0.0,0.99986577,0.0,0.0,0.0,3.17e-06,4,0.99986577
András Schäfer,hu Hungary,0.0,0.00015138,0.0,0.0,0.99984862,0.0,0.0,0.0,0.0,4,0.99984862
Salih Özcan,tr Türkiye,0.0,0.00016619,0.0,0.0,0.99983377,0.0,0.0,0.0,4e-08,4,0.99983377
Steven Bergwijn,nl Netherlands,0.0,0.0,1e-08,0.0,0.99982987,0.0,0.0,0.0,0.00017012,4,0.99982987
Youri Tielemans,be Belgium,2.1e-07,0.0,0.00017277,0.0,0.99982702,0.0,0.0,0.0,0.0,4,0.99982702
Filip Mladenović,rs Serbia,0.0,1e-08,0.0,0.0,0.99981131,0.0,0.0,0.0,0.00018869,4,0.99981131
Wout Faes,be Belgium,0.0,0.00017157,0.0,0.0,0.99979494,0.0,0.0,0.0,3.349e-05,4,0.99979494
Nicușor Bancu,ro Romania,0.0,0.0,0.0,0.0,0.99979095,0.0,0.0,0.0,0.00020904,4,0.99979095
Matteo Darmian,it Italy,0.0,0.00015094,0.0,0.0,0.99978332,0.0,0.0,0.0,6.574e-05,4,0.99978332
Dayot Upamecano,fr France,0.0,0.00018452,0.0,0.0,0.99977131,0.0,0.0,0.0,4.417e-05,4,0.99977131
Márton Dárdai,hu Hungary,0.0,0.0,0.0,0.0,0.99976189,0.0,0.0,0.0,0.00023811,4,0.99976189
Mykola Matviyenko,ua Ukraine,0.0,0.0,1.2e-07,0.0,0.99975221,0.0,0.0,0.0,0.00024767,4,0.99975221
Trent Alexander-Arnold,eng England,5.54e-06,0.0,0.00024684,0.0,0.99974762,0.0,0.0,0.0,0.0,4,0.99974762
Eduardo Camavinga,fr France,0.0,0.0,3.11e-06,0.0,0.99974673,0.0,0.0,0.0,0.00025016,4,0.99974673
Kobbie Mainoo,eng England,0.0,0.0,1e-08,0.0,0.9997382,0.0,0.0,0.0,0.00026179,4,0.9997382
Adam Gnezda Čerin,si Slovenia,0.0,0.00045889,0.0,0.0,0.99954111,0.0,0.0,1e-08,0.0,4,0.99954111
Samet Akaydın,tr Türkiye,0.0,0.00048684,0.0,0.0,0.99951316,0.0,0.0,0.0,0.0,4,0.99951316
Philipp Lienhart,at Austria,0.0,0.0004905,0.0,0.0,0.99950452,0.0,0.0,0.0,4.98e-06,4,0.99950452
Pepe,pt Portugal,0.0,0.00055486,0.0,0.0,0.99944257,0.0,0.0,0.0,2.57e-06,4,0.99944257
Andreas Christensen,dk Denmark,0.0,0.00070828,0.0,0.0,0.99928461,0.0,0.0,0.0,7.11e-06,4,0.99928461
Orel Mangala,be Belgium,0.0,0.0,0.0,0.0,0.99925469,0.0,0.0,0.0,0.00074531,4,0.99925469
Giorgi Chakvetadze,ge Georgia,0.0,0.0,0.0,0.0,0.99912197,0.0,1e-08,0.0,0.00087802,4,0.99912197
Saša Lukić,rs Serbia,0.0,0.00088434,0.0,0.0,0.99907814,0.0,0.0,0.0,3.752e-05,4,0.99907814
Billy Gilmour,sct Scotland,0.0,0.00096025,0.0,0.0,0.99896359,6.451e-05,0.0,0.0,1.165e-05,4,0.99896359
Bartosz Slisz,pl Poland,0.0,0.0,0.0,0.0,0.99877789,0.0,0.0,0.0,0.0012221,4,0.99877789
Ádám Nagy,hu Hungary,0.0,0.00140175,0.0,0.0,0.99859054,0.0,0.0,0.0,7.71e-06,4,0.99859054
Gianluca Mancini,it Italy,0.0,0.00152895,0.0,0.0,0.99845872,0.0,0.0,0.0,1.233e-05,4,0.99845872
Dušan Vlahović,rs Serbia,0.0,0.0,0.0,0.00177181,0.99820442,2.376e-05,0.0,0.0,0.0,4,0.99820442
Endre Botka,hu Hungary,0.0,0.00246759,0.0,0.0,0.99744001,0.0,0.0,0.0,9.24e-05,4,0.99744001
Artem Dovbyk,ua Ukraine,0.0,0.0,0.0,0.00294231,0.99703943,0.0,4e-08,0.0,1.822e-05,4,0.99703943
Mikel Merino,es Spain,7.553e-05,0.0,0.00415218,0.0,0.99577227,0.0,2e-08,0.0,0.0,4,0.99577227
Jure Balkovec,si Slovenia,0.0,0.00461251,0.0,0.0,0.99538092,0.0,0.0,0.0,6.57e-06,4,0.99538092
Breel Embolo,ch Switzerland,0.0,0.0,0.0,0.00617206,0.99382779,0.0,1.5e-07,0.0,0.0,4,0.99382779
Romano Schmid,at Austria,5.004e-05,0.0,5e-07,1e-08,0.99225123,0.0,0.00769819,3e-08,0.0,4,0.99225123
Nikola Milenković,rs Serbia,0.0,0.0082315,0.0,0.0,0.99174667,0.0,0.0,0.0,2.183e-05,4,0.99174667
John Stones,eng England,0.0,0.00959145,0.0,0.0,0.99038726,0.0,0.0,0.0,2.129e-05,4,0.99038726
Rasmus Højlund,dk Denmark,0.0,0.0,0.0,0.0119163,0.98808365,0.0,5e-08,0.0,0.0,4,0.98808365
Denis Vavro,sk Slovakia,0.0,0.01215929,0.0,0.0,0.98782202,0.0,0.0,0.0,1.869e-05,4,0.98782202
Attila Fiola,hu Hungary,0.0,0.03194257,0.0,0.0,0.96803246,0.0,0.0,0.0,2.497e-05,4,0.96803246
Mario Mitaj,al Albania,0.0,0.04067069,0.0,0.0,0.95932724,0.0,0.0,0.0,2.07e-06,4,0.95932724
Luka Modrić,hr Croatia,0.0,0.0,0.04080833,0.0,0.95919167,0.0,0.0,0.0,0.0,4,0.95919167
Timothy Castagne,be Belgium,0.0,0.04720975,0.0,0.0,0.95276181,0.0,0.0,0.0,2.844e-05,4,0.95276181
Jan Vertonghen,be Belgium,0.0,0.05414837,0.0,0.0,0.94515564,0.00068689,0.0,0.0,9.11e-06,4,0.94515564
Marcus Thuram,fr France,1e-08,0.0,0.0,0.06084225,0.93912693,0.0,3.082e-05,0.0,0.0,4,0.93912693
Marin Pongračić,hr Croatia,0.0,0.08381847,0.0,0.0,0.91617408,0.0,0.0,0.0,7.45e-06,4,0.91617408
Florian Wirtz,de Germany,0.01442514,0.0,0.00017062,0.0,0.89627506,0.0,0.08912918,0.0,0.0,4,0.89627506
Silvan Widmer,ch Switzerland,0.0,0.11359835,0.0,0.0,0.88639272,0.0,0.0,0.0,8.93e-06,4,0.88639272
Iván Balliu,al Albania,0.0,0.11731234,0.0,0.0,0.88268051,0.0,0.0,0.0,7.16e-06,4,0.88268051
Grant Hanley,sct Scotland,0.0,0.14662654,0.0,0.0,0.85336157,0.0,0.0,0.0,1.189e-05,4,0.85336157
Jack Hendry,sct Scotland,0.0,0.17833197,0.0,0.0,0.82162477,2.401e-05,0.0,0.0,1.925e-05,4,0.82162477
William Saliba,fr France,0.0,0.17969548,0.0,0.0,0.82029279,0.0,0.0,0.0,1.173e-05,4,0.82029279
Conor Gallagher,eng England,0.0,0.19899659,0.0,0.0,0.80097976,1.29e-06,0.0,0.0,2.236e-05,4,0.80097976
