Rk,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeStarts,PlayingTimeMin,PlayingTime90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,ProgressionPrgC,ProgressionPrgP,ProgressionPrgR,Per90MinGls,Per90MinAst,Per90MinG+A,Per90MinG-PK,Per90MinG+A-PK,Per90Min_xG,Per90Min_xAG,Per90Min_xG+xAG,Per90Min_npxG,Per90Min_npxG+xAG,Matches,ID
84,Francisco Conceição,FW/MF,pt Portugal,21,2002,4,1,182,2.0,1,0,1,1,0,0,1,0,0.9,0.9,1.6,2.5,15,9,34,0.49,0.0,0.49,0.49,0.49,0.66,1.21,1.88,0.66,1.88,Matches,FrFWpt212002
85,Diogo Costa,GK,pt Portugal,24,1999,5,5,510,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,DiGKpt241999
86,Vladimír Coufal,DF/FW,cz Czechia,31,1992,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,10,11,12,0.0,0.33,0.33,0.0,0.33,0.0,0.19,0.19,0.0,0.19,Matches,VlDFcz311992
87,Bryan Cristante,MF,it Italy,28,1995,3,1,133,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,2,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches,BrMFit281995
88,Kevin Csoboth,DF,hu Hungary,23,2000,2,0,9,0.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,2,1,10.0,0.0,10.0,10.0,10.0,6.22,0.0,6.22,6.22,6.22,Matches,KeDFhu232000
89,Marc Cucurella,DF,es Spain,25,1998,6,6,545,6.1,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.1,16,29,33,0.0,0.17,0.17,0.0,0.17,0.0,0.19,0.19,0.0,0.19,Matches,MaDFes251998
90,Mirlind Daku,FW,al Albania,26,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,1.71,1.99,3.7,1.71,3.7,Matches,MiFWal261998
91,Diogo Dalot,DF/MF,pt Portugal,24,1999,2,2,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,13,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,DiDFpt241999
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,MiFWdk232000
93,Kevin Danso,DF,at Austria,25,1998,3,2,212,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,22,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,KeDFat251998
94,Márton Dárdai,DF,hu Hungary,21,2002,3,2,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,MáDFhu212002
95,Matteo Darmian,DF,it Italy,34,1989,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,MaDFit341989
96,Zuriko Davitashvili,FW/MF,ge Georgia,22,2001,4,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,3,11,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,ZuFWge222001
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,PaDFpl281995
